"PLT_CN","wbp_occurances","CN","PLOT","LAT","LON","ELEV"
"1","11796922010690",14,"11796922010690",81459,44.511015,-111.998055,8638
"2","11801368010690",5,"11801368010690",84395,44.652194,-111.48416,7926
"3","11847315010690",4,"11847315010690",86410,44.701246,-111.633271,7845
"4","11857938010690",14,"11857938010690",86257,45.474566,-111.138694,8600
"5","11858061010690",24,"11858061010690",88592,45.830833,-110.933846,8300
"6","11858213010690",22,"11858213010690",92226,45.020719,-111.320549,7929
"7","11862043010690",19,"11862043010690",93200,46.161392,-112.317736,7875
"8","11868037010690",45,"11868037010690",86309,44.972724,-111.825173,9213
"9","11868382010690",1,"11868382010690",89832,44.831067,-112.143661,8074
"10","11868444010690",37,"11868444010690",91760,44.97662,-111.506066,8860
"11","11868595010690",6,"11868595010690",94528,44.790424,-111.829272,8764
"12","11872030010690",6,"11872030010690",80927,45.332592,-110.294407,8018
"13","11872570010690",1,"11872570010690",92305,45.450546,-110.468861,8911
"14","11872673010690",15,"11872673010690",93046,45.159767,-110.619346,8987
"15","11872786010690",45,"11872786010690",94868,45.469316,-110.810903,8461
"16","11881428010690",33,"11881428010690",86290,45.451359,-110.123384,9258
"17","12332867010690",6,"12332867010690",87288,44.792309,-112.135743,8813
"18","12333256010690",27,"12333256010690",89642,44.776697,-111.783631,8715
"19","12336143010690",10,"12336143010690",81970,45.057747,-109.793842,9292
"20","12344021010690",2,"12344021010690",81262,45.24165,-111.130055,8305
"21","12344518010690",5,"12344518010690",86358,45.380787,-110.934228,9435
"22","12344818010690",25,"12344818010690",95816,45.376721,-111.252635,8010
"23","12354073010690",11,"12354073010690",82875,44.931516,-111.442855,9622
"24","12354215010690",21,"12354215010690",84188,45.285548,-111.381827,8069
"25","12354597010690",1,"12354597010690",88955,44.928814,-111.760782,8134
"26","12355026010690",36,"12355026010690",93017,45.602633,-112.087893,8717
"27","12358761010690",105,"12358761010690",82554,46.058767,-110.414968,8867
"28","12359166010690",28,"12359166010690",85692,45.379451,-110.235047,8834
"29","12359456010690",15,"12359456010690",87815,45.422796,-110.427463,8658
"30","12359555010690",50,"12359555010690",89310,46.142133,-110.290206,7489
"31","12359856010690",35,"12359856010690",92140,45.200464,-110.623921,9280
"32","12359950010690",10,"12359950010690",93179,45.064104,-110.934823,9162
"33","12368436010690",1,"12368436010690",86062,45.422515,-110.107561,8979
"34","2313859010690",6,"2313859010690",80628,44.789133,-112.268648,8445
"35","2316728010690",12,"2316728010690",80582,45.010228,-109.727769,9059
"36","2316898010690",5,"2316898010690",88486,45.238226,-109.536602,7844
"37","2317046010690",10,"2317046010690",95714,45.187558,-109.397022,8904
"38","2322906010690",15,"2322906010690",94608,45.070139,-111.067029,8960
"39","2330742010690",82,"2330742010690",86163,45.732672,-112.418306,8424
"40","2330925010690",21,"2330925010690",87457,45.56016,-112.095224,8430
"41","2331077010690",4,"2331077010690",87778,45.419952,-111.570171,7957
"42","2331389010690",2,"2331389010690",94062,45.560728,-111.764094,5567
"43","2334171010690",31,"2334171010690",80859,45.247917,-110.235325,8261
"44","2334269010690",37,"2334269010690",82415,45.059351,-109.928349,9486
"45","2334398010690",9,"2334398010690",84536,45.203522,-110.740816,8092
"46","2334547010690",2,"2334547010690",89164,46.011887,-110.361863,8904
"47","2334553010690",80,"2334553010690",89224,45.077504,-110.557609,9046
"48","2334782010690",33,"2334782010690",90366,45.062184,-110.243576,9207
"49","2334948010690",25,"2334948010690",93400,45.033447,-110.072842,8914
"50","2340712010690",5,"2340712010690",85548,45.199529,-109.718143,9463
"51","2341135010690",9,"2341135010690",87134,45.374804,-110.046414,7896
"52","2341216010690",76,"2341216010690",91366,46.054757,-110.230904,8410
"53","2738400010690",8,"2738400010690",1,43.934929,-110.022717,9900
"54","2738614010690",34,"2738614010690",13,43.878141,-109.447324,10200
"55","2738657010690",22,"2738657010690",14,43.85186,-109.995457,10280
"56","2738693010690",1,"2738693010690",16,43.848109,-109.882304,9600
"57","2738734010690",43,"2738734010690",19,43.849204,-109.505306,9520
"58","2738807010690",8,"2738807010690",22,43.796055,-109.997635,9400
"59","2739192010690",19,"2739192010690",33,43.782855,-109.330485,10000
"60","2739227010690",9,"2739227010690",35,43.755041,-109.94242,9810
"61","2739490010690",33,"2739490010690",40,43.757856,-109.615656,10080
"62","2739729010690",11,"2739729010690",45,43.74559,-109.306681,9600
"63","2740146010690",20,"2740146010690",52,43.711825,-109.682505,9343
"64","2740355010690",2,"2740355010690",58,43.716863,-109.312456,9280
"65","2740417010690",31,"2740417010690",60,43.711558,-109.20089,9720
"66","2740478010690",11,"2740478010690",61,43.679192,-110.019432,9400
"67","2741290010690",12,"2741290010690",87,43.609112,-109.272101,9760
"68","2741384010690",8,"2741384010690",94,43.570277,-110.023676,9200
"69","2741788010690",25,"2741788010690",116,43.522549,-110.023208,8900
"70","2741851010690",7,"2741851010690",118,43.533142,-109.900511,9340
"71","2741905010690",7,"2741905010690",119,43.520778,-109.833917,9520
"72","2742249010690",14,"2742249010690",140,43.490921,-110.010113,8600
"73","2742323010690",29,"2742323010690",141,43.48947,-109.948299,9400
"74","2742514010690",3,"2742514010690",143,43.485528,-109.820991,9460
"75","2742531010690",2,"2742531010690",144,43.484888,-109.760408,10500
"76","2742563010690",26,"2742563010690",145,43.485931,-109.692371,9824
"77","2742894010690",25,"2742894010690",181,43.436713,-109.71938,10115
"78","2743346010690",36,"2743346010690",218,43.397179,-109.648592,9700
"79","2743395010690",8,"2743395010690",219,43.393718,-109.585695,9680
"80","2743430010690",65,"2743430010690",220,43.397263,-109.510287,9000
"81","2743764010690",2,"2743764010690",253,43.340422,-109.64615,9960
"82","2744297010690",17,"2744297010690",324,43.243324,-109.584251,10700
